"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SPICEPREFIX";"TP_SIGNAL_NAME";"VALUE";
"1";"0R JUMPER 0603";"R-EU_R0603";"R0603";"R1";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"BSS123LT1G";"NMOS_GENERIC";"SOT23C";"Q2";"";"";"";"";"";"";"";"";
"1";"BZX84C6V2L";"ZENER-DIODESOT23";"SOT23";"D5";"Z-Diode";"";"";"";"";"";"";"";
"1";"CAP CER 0.1PF 50V C0G/NP0 0402";"C-EUC0402";"C0402";"C20";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"5";"CAP CER 0.1UF 100V X7R 0603";"C-EUC0603";"C0603";"C2, C4, C16, C21, C22";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"2";"CAP CER 0.1UF 25V X7R 0603";"C-EUC0603";"C0603";"C11, C13";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"CAP CER 0.1UF 50V X7R 0805";"C-EUC0805";"C0805";"C7";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"3";"CAP CER 10000PF 25V C0G 0603";"C-EUC0603";"C0603";"C10, C15, C18";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"CAP CER 10000PF 25V X7R 0603 10%";"C-EUC0603";"C0603";"C8";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"CAP CER 10NF 50V X7R 0603";"C-EUC0603";"C0603";"C9";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"CAP CER 10PF 250V C0G/NP0 0603";"C-EUC0603";"C0603";"C17";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"CAP CER 10UF 10V X5R 0603";"C-EUC0603";"C0603";"C1";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"CAP CER 10UF 50V X5R 1206";"C-EUC1206";"C1206";"C5";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"CAP CER 1UF 50V X7R 1206";"C-EUC1206";"C1206";"C6";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"D55V0M1B2WS-7";"DIODE-SOD323-W";"SOD323-W";"D1";"DIODE";"";"";"";"";"";"";"";
"3";"DNP";"C-EUC0402";"C0402";"C12, C14, C19";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"DNP";"C-EUC0603";"C0603";"C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"DNP";"DIODE-SOD323-W";"SOD323-W";"D3";"DIODE";"";"";"";"";"";"";"";
"1";"DNP";"OPA858";"WSON8";"IC2";"";"";"";"";"";"";"";"OPA858";
"2";"DNP";"R-EU_R0402";"R0402";"R4, R6";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"2";"DNP";"R-EU_R0603";"R0603";"R3, R7";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"LM8261";"LM8261";"SOT23-5";"IC4";"";"";"";"";"";"";"";"LM8261";
"2";"MMSD4148";"DIODE-SOD123";"SOD123";"D2, D4";"DIODE";"";"";"";"";"";"";"";
"1";"NTR5105P";"PMOS_GENERIC_SOT23-3";"SOT23C";"Q1";"";"";"";"";"";"";"";"";
"1";"NUD3160LT1G";"NUD3160LT1G";"SOT23C";"Q3";"";"";"";"";"";"";"";"NUD3160LT1G";
"1";"OPA858";"OPA858";"WSON8";"IC3";"";"";"";"";"";"";"";"OPA858";
"1";"RES SMD 1 OHM 1% 0805";"R-EU_R0805";"R0805";"R2";"RESISTOR, European symbol";"";"";"";"";"R";"";"";
"1";"RES SMD 100 OHM 1% 0402";"R-EU_R0402";"R0402";"R10";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"RES SMD 100K OHM 1% 0805";"R-EU_R0805";"R0805";"R5";"RESISTOR, European symbol";"";"";"";"";"R";"";"";
"2";"RES SMD 10K OHM 1% 1/10W 0603";"R-EU_R0603";"R0603";"R13, R14";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"2";"RES SMD 10M OHM 1% 1/10W 0603";"R-EU_R0603";"R0603";"R12, R15";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"RES SMD 1K OHM 1% 0402";"R-EU_R0402";"R0402";"R11";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"2";"RES SMD 1K OHM 1% 1/10W 0603";"R-EU_R0603";"R0603";"R16, R17";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"RES SMD 50 OHM 1% 0402";"R-EU_R0402";"R0402";"R8";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"RES SMD 50 OHM 1% 0603";"R-EU_R0603";"R0603";"R9";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"SIGNAL_OUT";"COAX";"MMCX-J-P-X-ST-EM1-MKT";"X3";"MMCX STRAIGHT, EDGE MOUNT JACK- 50 OHM";"Samtec Inc.";"MMCX-J-P-X-ST-EM1-MKT";"unknown";"unknown";"";"";"";
"1";"SPAD";"SMA-142-0701-881/886";"J502-ND-142-0701-881/886";"X2";"SMA 50 Ohm End Launch Jack Receptacle - Round Contact";"JOHNSON COMPONENTS";"142-0701-881";"1608603";"08B906";"";"";"";
"1";"TPB1,27";"TPB1,27";"B1,27";"TP7";"Test pad";"";"";"";"";"";"";"";
"1";"TPS79850";"TPS7A";"MSOP-8_POWER_PAD";"IC1";"";"";"";"";"";"";"";"";
"6";"TPTP10R";"TPTP10R";"TP10R";"TP1, TP2, TP3, TP4, TP5, TP6";"Test pad";"";"";"";"";"";"";"";
"1";"VIN_BIAS";"COAX";"MMCX-J-P-X-ST-EM1-MKT";"X1";"MMCX STRAIGHT, EDGE MOUNT JACK- 50 OHM";"Samtec Inc.";"MMCX-J-P-X-ST-EM1-MKT";"unknown";"unknown";"";"";"";
"1";"VIN_PWR";"COAX";"MMCX-J-P-X-ST-EM1-MKT";"X4";"MMCX STRAIGHT, EDGE MOUNT JACK- 50 OHM";"Samtec Inc.";"MMCX-J-P-X-ST-EM1-MKT";"unknown";"unknown";"";"";"";
